name,latitude,longitude,tags
Roxbury Crossing,42.3315,-71.0955,MBTA-ORANGE LINE
Jackson Square,42.3231,-71.0998,MBTA-ORANGE LINE
Stony Brook,42.3171,-71.1046,MBTA-ORANGE LINE
Green Street,42.3106,-71.1071,MBTA-ORANGE LINE
Forest Hills,42.3009,-71.1137,MBTA-ORANGE LINE
Alewife,42.3954,-71.1423,MBTA-RED LINE
Davis,42.3967,-71.1218,MBTA-RED LINE
Porter,42.3884,-71.1191,MBTA-RED LINE
Harvard,42.3736,-71.1189,MBTA-RED LINE
Central,42.3656,-71.1031,MBTA-RED LINE
Kendall/MIT,42.3625,-71.086,MBTA-RED LINE
Charles/MGH,42.3612,-71.0706,MBTA-RED LINE
Park Street,42.3564,-71.062,"MBTA-RED LINE, MBTA-GREEN LINE"
South Station,42.3523,-71.0551,"MBTA-RED LINE, MBTA-SILVER LINE"
Broadway,42.3426,-71.0571,MBTA-RED LINE
Andrew,42.3302,-71.0577,MBTA-RED LINE
JFK/UMass,42.3207,-71.0524,MBTA-RED LINE
Savin Hill,42.3113,-71.0532,MBTA-RED LINE
Fields Corner,42.2994,-71.0614,MBTA-RED LINE
Shawmut,42.2931,-71.0657,MBTA-RED LINE
Ashmont,42.2845,-71.0635,MBTA-RED LINE
North Quincy,42.2759,-71.039,MBTA-RED LINE
Wollaston,42.2667,-71.0202,MBTA-RED LINE
Quincy Center,42.2518,-71.0057,MBTA-RED LINE
Quincy Adams,42.2334,-71.0071,MBTA-RED LINE
Braintree,42.2079,-71.0011,MBTA-RED LINE
South Street,42.3392,-71.1573,MBTA-GREEN LINE
Chestnut Hill Avenue,42.3381,-71.1532,MBTA-GREEN LINE
Chiswick Road,42.3411,-71.1501,MBTA-GREEN LINE
Sutherland Road,42.3419,-71.1468,MBTA-GREEN LINE
Washington Street,42.3411,-71.1451,MBTA-GREEN LINE
Tappan Street,42.3401,-71.1423,MBTA-GREEN LINE
Dean Road,42.3373,-71.1384,MBTA-GREEN LINE
Englewood Avenue,42.3364,-71.1356,MBTA-GREEN LINE
Cleveland Circle,42.336,-71.1495,MBTA-GREEN LINE
Reservoir,42.3356,-71.1489,MBTA-GREEN LINE
Chestnut Hill,42.3266,-71.1653,MBTA-GREEN LINE
Newton Centre,42.3294,-71.1924,MBTA-GREEN LINE
Newton Highlands,42.3219,-71.206,MBTA-GREEN LINE
Eliot,42.3192,-71.2175,MBTA-GREEN LINE
Waban,42.3252,-71.2308,MBTA-GREEN LINE
Woodland,42.3331,-71.2448,MBTA-GREEN LINE
Riverside,42.337,-71.2522,MBTA-GREEN LINE
Heath Street,42.3287,-71.1104,MBTA-GREEN LINE
Back of the Hill,42.3298,-71.1103,MBTA-GREEN LINE
Riverway,42.333,-71.1097,MBTA-GREEN LINE
Mission Park,42.3336,-71.1091,MBTA-GREEN LINE
Fenwood Road,42.3333,-71.1056,MBTA-GREEN LINE
Brigham Circle,42.3342,-71.1041,MBTA-GREEN LINE
Longwood Medical Area,42.3384,-71.1024,MBTA-GREEN LINE
Symphony,42.3425,-71.0847,MBTA-GREEN LINE
Prudential,42.3458,-71.081,MBTA-GREEN LINE
Copley,42.3499,-71.0772,MBTA-GREEN LINE
Arlington,42.3519,-71.0704,MBTA-GREEN LINE
Boylston,42.3524,-71.0645,MBTA-GREEN LINE
Government Center,42.3597,-71.0592,"MBTA-GREEN LINE, MBTA-BLUE LINE"
Lechmere,42.3702,-71.0764,MBTA-GREEN LINE
Wonderland,42.415,-70.9914,"MBTA-BLUE LINE, MBTA-SILVER LINE"
Revere Beach,42.4078,-70.9927,MBTA-BLUE LINE
Beachmont,42.3954,-70.9921,MBTA-BLUE LINE
Suffolk Downs,42.3903,-70.997,MBTA-BLUE LINE
Orient Heights,42.3867,-71.0049,MBTA-BLUE LINE
Wood Island,42.3798,-71.0229,MBTA-BLUE LINE
Airport,42.3742,-71.0304,MBTA-BLUE LINE
Maverick,42.3691,-71.0395,MBTA-BLUE LINE
Aquarium,42.3594,-71.0532,MBTA-BLUE LINE
State Street,42.3589,-71.0576,MBTA-BLUE LINE
Bowdoin,42.3613,-71.062,MBTA-BLUE LINE
Logan Airport,42.3654,-71.0193,MBTA-SILVER LINE
Terminal A,42.3657,-71.0186,MBTA-SILVER LINE
Terminal B / C,42.3651,-71.0153,MBTA-SILVER LINE
Terminal E / Economy Parking,42.3634,-71.0237,MBTA-SILVER LINE
22 Drydock Ave,42.3466,-71.0328,MBTA-SILVER LINE
Courthouse,42.3529,-71.0447,MBTA-SILVER LINE
World Trade Center,42.3485,-71.0425,MBTA-SILVER LINE
Silver Line Way,42.3447,-71.0462,MBTA-SILVER LINE
Chelsea,42.393,-71.0389,MBTA-SILVER LINE
Bellingham Square,42.3938,-71.0336,MBTA-SILVER LINE
Box District,42.3939,-71.0271,MBTA-SILVER LINE
Eastern Ave,42.3937,-71.0199,MBTA-SILVER LINE
Dudley Square,42.3284,-71.0844,MBTA-SILVER LINE
Melnea Cass Blvd,42.3321,-71.0794,MBTA-SILVER LINE
Washington St @ Lenox St,42.336,-71.0767,MBTA-SILVER LINE
Boston Medical Center,42.3364,-71.0738,"MBTA-SILVER LINE, MBTA-SILVER LINE"
Herald St,42.347,-71.0652,MBTA-SILVER LINE
East Berkeley St,42.3457,-71.0664,MBTA-SILVER LINE
Union Park St,42.3429,-71.0707,MBTA-SILVER LINE
Newton St,42.3412,-71.0738,MBTA-SILVER LINE
Worcester Sq,42.3389,-71.0767,MBTA-SILVER LINE
East Canton St,42.3374,-71.0793,MBTA-SILVER LINE
Temple Place,42.3552,-71.0629,MBTA-SILVER LINE
Boylston St,42.3496,-71.0762,MBTA-SILVER LINE
New England Medical Center,42.3383,-71.0723,MBTA-SILVER LINE
